Zip Code,BaseDate,3-Month,6-Month,1-Year
60463,2024-03-31,1.2,3.1,-0.4
68310,2024-03-31,1.4,3.9,1.1
7044,2024-03-31,0.7,1.8,-1.0
11946,2024-03-31,0.7,1.8,-1.0
60478,2024-03-31,1.4,3.4,-0.5
6608,2024-03-31,1.5,3.8,2.4
55436,2024-03-31,1.1,2.7,-1.3
89460,2024-03-31,1.0,2.1,0.7
94105,2024-03-31,0.7,1.0,-1.2
7062,2024-03-31,0.7,1.9,-1.0
75762,2024-03-31,0.9,2.4,1.8
18444,2024-03-31,0.9,2.4,1.3
63132,2024-03-31,1.4,3.3,0.5
79007,2024-03-31,0.9,3.0,-3.1
97439,2024-03-31,0.8,2.1,0.5
84059,2024-03-31,1.1,2.5,2.0
83644,2024-03-31,1.1,3.0,2.9
2917,2024-03-31,1.1,2.8,1.7
25504,2024-03-31,0.6,1.7,-1.3
77441,2024-03-31,0.6,1.4,0.2
30317,2024-03-31,0.7,1.7,2.0
11702,2024-03-31,0.6,1.5,-0.8
38668,2024-03-31,0.7,1.7,1.4
38571,2024-03-31,1.2,3.1,5.1
30204,2024-03-31,0.8,2.1,2.5
98951,2024-03-31,1.1,2.9,1.7
6477,2024-03-31,1.2,3.2,2.6
